GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS810690827	2019-09-28 18:52:09	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Acre	BR-AC							Rio Purus - Manoel Urbano	L4835749	H	-8.9462192	-69.3932533	2019-09-26	08:56:00	obsr601274	S60191485	Incidental	P20	EBIRD				4	0		0	1	0		Viagem de voadeira da SEMA rumo ao PE Chandless. Com Ricardo Placido, Silvia Linhares, Robson Czaban. Piloto Mandi e Walfredo. Chuva no caminho que nos ateasou 2 horas. Muito vento. Mas o rio Purus ainda baixo		
URN:CornellLabOfOrnithology:EBIRD:OBS519527211	2017-07-18 06:41:53	23051	species	Purple Martin	Progne subis			10				Brazil	BR	Amazonas	BR-AM							Ditch (which no longer exists)	L6088922	P	-3.0772797	-60.0138246	1985-12-03		obsr290902	S38199955	Historical	P62	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516479771	2017-07-05 13:36:46	23051	species	Purple Martin	Progne subis			12				Brazil	BR	Amazonas	BR-AM							Praia Dourada	L6056606	P	-3.0156841	-60.0935948	1986-01-16		obsr290902	S37985370	Historical	P62	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516443438	2018-09-07 00:55:51	23051	species	Purple Martin	Progne subis			4				Brazil	BR	Amazonas	BR-AM							Careiro da Várzea	L5878197	H	-3.2649476	-59.8540735	1986-01-05		obsr290902	S37982659	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516520623	2017-07-05 16:47:29	23051	species	Purple Martin	Progne subis			5				Brazil	BR	Amazonas	BR-AM							Lago Janauari	L2410117	H	-3.2111163	-60.0309062	1986-01-18		obsr290902	S37988237	Historical	P62	EBIRD				8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516496804	2017-07-05 14:51:02	23051	species	Purple Martin	Progne subis			15				Brazil	BR	Amazonas	BR-AM							Careiro da Várzea	L5878197	H	-3.2649476	-59.8540735	1986-01-17		obsr290902	S37986508	Historical	P62	EBIRD				4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511076030	2019-01-02 18:55:57	23051	species	Purple Martin	Progne subis			1				Brazil	BR	Amazonas	BR-AM							Careiro da Várzea	L5878197	H	-3.2649476	-59.8540735	1988-08-21		obsr290902	S37590347	Historical	P62	EBIRD				4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511059166	2017-06-14 14:06:32	23051	species	Purple Martin	Progne subis			10				Brazil	BR	Amazonas	BR-AM							Manaus--INPA Bosque da Ciência	L2872056	H	-3.0972713	-59.9864540	1988-08-18		obsr290902	S37589066	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511064400	2017-06-14 15:19:09	23051	species	Purple Martin	Progne subis			10				Brazil	BR	Amazonas	BR-AM							Lago Janauari	L2410117	H	-3.2111163	-60.0309062	1988-08-19		obsr290902	S37589442	Historical	P62	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS638183931	2019-10-05 22:07:11	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							BRAZIL Manaus & vicinity	L7085206	P	-3.0847870	-60.0062084	1989-02-08	08:30:00	obsr248326	S47074787	Historical	P62	EBIRD				1	1		0	1	0				
